date,month,year,state,number_of_fires
1998-01-01,January,1998,Acre,0.0
1999-01-01,January,1999,Acre,0.0
2000-01-01,January,2000,Acre,0.0
2001-01-01,January,2001,Acre,0.0
2002-01-01,January,2002,Acre,0.0
2003-01-01,January,2003,Acre,10.0
2004-01-01,January,2004,Acre,0.0
2005-01-01,January,2005,Acre,12.0
2006-01-01,January,2006,Acre,4.0
2007-01-01,January,2007,Acre,0.0
2008-01-01,January,2008,Acre,0.0
2009-01-01,January,2009,Acre,0.0
2010-01-01,January,2010,Acre,1.0
2011-01-01,January,2011,Acre,0.0
2012-01-01,January,2012,Acre,0.0
2013-01-01,January,2013,Acre,0.0
2014-01-01,January,2014,Acre,0.0
2015-01-01,January,2015,Acre,1.0
2016-01-01,January,2016,Acre,12.0
2017-01-01,January,2017,Acre,0.0
1998-01-01,February,1998,Acre,0.0
1999-01-01,February,1999,Acre,0.0
2000-01-01,February,2000,Acre,0.0
2001-01-01,February,2001,Acre,0.0
2002-01-01,February,2002,Acre,1.0
2003-01-01,February,2003,Acre,0.0
2004-01-01,February,2004,Acre,3.0
2005-01-01,February,2005,Acre,0.0
2006-01-01,February,2006,Acre,0.0
2007-01-01,February,2007,Acre,5.0
2008-01-01,February,2008,Acre,0.0
2009-01-01,February,2009,Acre,2.0
2010-01-01,February,2010,Acre,0.0
2011-01-01,February,2011,Acre,0.0
2012-01-01,February,2012,Acre,0.0
2013-01-01,February,2013,Acre,0.0
2014-01-01,February,2014,Acre,0.0
2015-01-01,February,2015,Acre,2.0
2016-01-01,February,2016,Acre,5.0
2017-01-01,February,2017,Acre,1.0
1998-01-01,March,1998,Acre,0.0
1999-01-01,March,1999,Acre,0.0
2000-01-01,March,2000,Acre,11.0
2001-01-01,March,2001,Acre,0.0
2002-01-01,March,2002,Acre,0.0
2003-01-01,March,2003,Acre,0.0
2004-01-01,March,2004,Acre,0.0
2005-01-01,March,2005,Acre,3.0
2006-01-01,March,2006,Acre,0.0
2007-01-01,March,2007,Acre,2.0
2008-01-01,March,2008,Acre,0.0
2009-01-01,March,2009,Acre,1.0
2010-01-01,March,2010,Acre,0.0
2011-01-01,March,2011,Acre,0.0
2012-01-01,March,2012,Acre,1.0
2013-01-01,March,2013,Acre,2.0
2014-01-01,March,2014,Acre,1.0
2015-01-01,March,2015,Acre,2.0
2016-01-01,March,2016,Acre,0.0
2017-01-01,March,2017,Acre,0.0
1998-01-01,April,1998,Acre,0.0
1999-01-01,April,1999,Acre,0.0
2000-01-01,April,2000,Acre,1.0
2001-01-01,April,2001,Acre,0.0
2002-01-01,April,2002,Acre,0.0
2003-01-01,April,2003,Acre,1.0
2004-01-01,April,2004,Acre,2.0
2005-01-01,April,2005,Acre,1.0
2007-01-01,April,2007,Acre,0.0
2008-01-01,April,2008,Acre,0.0
2009-01-01,April,2009,Acre,0.0
2010-01-01,April,2010,Acre,3.0
2011-01-01,April,2011,Acre,2.0
2012-01-01,April,2012,Acre,1.0
2013-01-01,April,2013,Acre,19.0
2014-01-01,April,2014,Acre,7.0
2015-01-01,April,2015,Acre,3.0
2016-01-01,April,2016,Acre,0.0
2017-01-01,April,2017,Acre,1.0
1998-01-01,May,1998,Acre,0.0
1999-01-01,May,1999,Acre,0.0
2000-01-01,May,2000,Acre,1.0
2001-01-01,May,2001,Acre,0.0
2002-01-01,May,2002,Acre,0.0
2003-01-01,May,2003,Acre,6.0
2004-01-01,May,2004,Acre,7.0
2005-01-01,May,2005,Acre,2.0
2006-01-01,May,2006,Acre,8.0
2007-01-01,May,2007,Acre,1.0
2008-01-01,May,2008,Acre,0.0
2009-01-01,May,2009,Acre,3.0
2010-01-01,May,2010,Acre,9.0
2011-01-01,May,2011,Acre,3.0
2012-01-01,May,2012,Acre,3.0
2013-01-01,May,2013,Acre,4.0
2014-01-01,May,2014,Acre,1.0
2015-01-01,May,2015,Acre,2.0
2016-01-01,May,2016,Acre,21.0
2017-01-01,May,2017,Acre,10.0
1998-01-01,June,1998,Acre,3.0
1999-01-01,June,1999,Acre,0.0
2000-01-01,June,2000,Acre,1.0
2001-01-01,June,2001,Acre,1.0
2002-01-01,June,2002,Acre,0.0
2003-01-01,June,2003,Acre,0.0
2004-01-01,June,2004,Acre,5.0
2005-01-01,June,2005,Acre,27.0
2006-01-01,June,2006,Acre,1.0
2007-01-01,June,2007,Acre,4.0
2009-01-01,June,2009,Acre,0.0
2010-01-01,June,2010,Acre,1.0
2011-01-01,June,2011,Acre,10.0
2012-01-01,June,2012,Acre,7.0
2013-01-01,June,2013,Acre,8.0
2014-01-01,June,2014,Acre,17.0
