Brand,Body,Mileage,EngineV,Engine Type,Registration,log_price
BMW,sedan,277,2.0,Petrol,yes,8.34283980427146
Mercedes-Benz,van,427,2.9,Diesel,yes,8.974618038455112
Mercedes-Benz,sedan,358,5.0,Gas,yes,9.495519314209846
Audi,crossover,240,4.2,Petrol,yes,10.043249494911286
Toyota,crossover,120,2.0,Petrol,yes,9.814656338829513
Audi,vagon,200,2.7,Diesel,yes,9.560997243589352
Renault,vagon,193,1.5,Diesel,yes,9.28720881623276
Volkswagen,other,212,1.8,Gas,no,7.24422751560335
Renault,vagon,177,1.5,Diesel,yes,9.388486557359657
Renault,sedan,260,1.79,Petrol,yes,7.824046010856292
Audi,vagon,165,2.7,Gas,yes,9.159047077588632
Volkswagen,sedan,100,1.8,Petrol,yes,9.259130536145614
Toyota,crossover,250,4.7,Gas,yes,9.680344001221918
Renault,hatch,84,1.5,Diesel,yes,9.0595174822416
BMW,other,203,2.0,Petrol,no,8.003028666384733
Toyota,crossover,21,2.0,Petrol,yes,10.184900011974314
Audi,vagon,250,2.5,Diesel,no,8.160518247477505
Toyota,other,0,2.4,Diesel,yes,10.551454296015532
Volkswagen,hatch,132,1.4,Diesel,yes,8.922658299524402
Audi,sedan,225,2.4,Gas,yes,8.824677891164198
Mitsubishi,crossover,130,2.4,Gas,yes,9.259130536145614
Audi,sedan,163,4.2,Diesel,yes,10.1226230824528
Volkswagen,crossover,151,3.0,Diesel,yes,9.94270826568941
Audi,sedan,330,2.4,Petrol,yes,8.779557455883728
Mercedes-Benz,other,171,2.2,Other,no,9.515321941506025
Mitsubishi,hatch,65,1.3,Petrol,yes,9.047821442478408
Audi,sedan,1,2.3,Gas,yes,7.9724660159745655
BMW,other,72,3.0,Petrol,yes,9.975808214115753
Mitsubishi,crossover,87,3.8,Gas,yes,9.792555991828847
BMW,crossover,160,4.8,Gas,yes,10.257659366256743
Volkswagen,van,160,1.9,Diesel,yes,9.190137664658664
Toyota,sedan,147,2.4,Gas,yes,9.581903928408666
BMW,sedan,300,2.8,Petrol,yes,8.699514748210191
BMW,crossover,1,2.5,Diesel,yes,11.119882876860622
Audi,other,14,1.8,Petrol,yes,10.431170293368542
Mercedes-Benz,van,230,2.15,Diesel,yes,9.190137664658664
Mercedes-Benz,crossover,86,5.5,Petrol,yes,11.05089000537367
BMW,sedan,326,2.8,Petrol,yes,8.948975607841776
Mercedes-Benz,van,30,2.2,Diesel,yes,9.169518377455928
Toyota,sedan,181,2.4,Petrol,yes,9.457200449907708
BMW,crossover,80,3.0,Petrol,yes,10.621327345686446
BMW,sedan,231,2.5,Petrol,yes,8.216088098632316
